timestamp,topic,payload
1773605661.586156,sensors/data,pico_w_iot 51
1773605662.0553102,sensors/data,pico_w_iot 52
1773605662.5684943,sensors/data,pico_w_iot 53
1773605663.11738,sensors/data,pico_w_iot 54
1773605663.7177482,sensors/data,pico_w_iot 55
1773605664.231784,sensors/data,pico_w_iot 56
1773605666.1231096,sensors/data,pico_w_iot 58
1773605668.6136746,sensors/data,pico_w_iot 59
1773605669.099995,sensors/data,pico_w_iot 60
1773605669.6176264,sensors/data,pico_w_iot 61
1773605669.619528,sensors/data,pico_w_iot 57
1773605670.3147073,sensors/data,pico_w_iot 62
1773605670.8431654,sensors/data,pico_w_iot 63
1773605671.4642212,sensors/data,pico_w_iot 64
1773605672.0147345,sensors/data,pico_w_iot 65
1773605674.4456332,sensors/data,pico_w_iot 69
1773605674.998957,sensors/data,pico_w_iot 70
1773605675.777762,sensors/data,pico_w_iot 71
1773605676.204848,sensors/data,pico_w_iot 72
1773605676.83973,sensors/data,pico_w_iot 73
1773605679.7853098,sensors/data,pico_w_iot 66
1773605679.8106012,sensors/data,pico_w_iot 67
1773605679.8322883,sensors/data,pico_w_iot 68
