timestamp,elapsed_s,mode,topic,node,seq,payload
1774710951.997,0.000,routing,sensors/arduino/data,arduino-05,2,arduino-05 2
1774710952.118,0.121,routing,sensors/arduino/data,arduino-03,7,arduino-03 7
1774710952.994,0.997,routing,sensors/arduino/data,arduino-04,5,arduino-04 5
1774710957.523,5.526,routing,sensors/data,arduino-02,2,arduino-02 2
1774710961.997,10.000,routing,sensors/arduino/data,arduino-05,3,arduino-05 3
1774710962.119,10.121,routing,sensors/arduino/data,arduino-03,8,arduino-03 8
1774710962.997,11.000,routing,sensors/arduino/data,arduino-04,6,arduino-04 6
1774710965.768,13.771,routing,sensors/arduino/data,arduino-02,7,arduino-02 7
1774710967.602,15.605,routing,sensors/data,arduino-02,2,arduino-02 2
1774710971.994,19.997,routing,sensors/data,arduino-05,1,arduino-05 1
1774710972.994,20.996,routing,sensors/data,arduino-04,2,arduino-04 2
1774710975.846,23.848,routing,sensors/arduino/data,arduino-02,8,arduino-02 8
1774710977.681,25.683,routing,sensors/data,arduino-02,2,arduino-02 2
1774710982.185,30.188,routing,sensors/data,arduino-03,3,arduino-03 3
1774710985.922,33.925,routing,sensors/arduino/data,arduino-02,9,arduino-02 9
1774710992.203,40.206,routing,sensors/arduino/data,arduino-05,4,arduino-05 4
1774710993.070,41.073,routing,sensors/arduino/data,arduino-04,7,arduino-04 7
1774710995.912,43.915,routing,sensors/data,arduino-02,3,arduino-02 3
1774711003.078,51.081,routing,sensors/arduino/data,arduino-04,8,arduino-04 8
1774711008.620,56.623,routing,sensors/data,arduino-02,3,arduino-02 3
1774711013.076,61.079,routing,sensors/arduino/data,arduino-04,9,arduino-04 9
1774711016.211,64.213,routing,sensors/arduino/data,arduino-02,10,arduino-02 10
1774711023.073,71.076,routing,sensors/data,arduino-04,3,arduino-04 3
1774711026.136,74.139,routing,sensors/arduino/data,arduino-02,11,arduino-02 11
1774711032.263,80.266,routing,sensors/data,arduino-03,4,arduino-03 4
1774711033.836,81.839,routing,sensors/data,arduino-05,2,arduino-05 2
1774711036.225,84.227,routing,sensors/arduino/data,arduino-02,12,arduino-02 12
1774711036.507,84.510,routing,sensors/data,arduino-04,3,arduino-04 3
1774711042.483,90.486,routing,sensors/arduino/data,arduino-05,7,arduino-05 7
1774711043.350,91.353,routing,sensors/arduino/data,arduino-04,10,arduino-04 10
1774711043.915,91.918,routing,sensors/data,arduino-05,2,arduino-05 2
1774711046.586,94.589,routing,sensors/data,arduino-04,3,arduino-04 3
1774711052.505,100.507,routing,sensors/arduino/data,arduino-03,13,arduino-03 13
1774711052.636,100.639,routing,sensors/arduino/data,arduino-05,8,arduino-05 8
1774711053.421,101.424,routing,sensors/arduino/data,arduino-04,11,arduino-04 11
1774711056.664,104.667,routing,sensors/data,arduino-04,3,arduino-04 3
1774711059.849,107.851,routing,sensors/data,arduino-02,4,arduino-02 4
1774711062.581,110.584,routing,sensors/arduino/data,arduino-03,14,arduino-03 14
1774711063.509,111.511,routing,sensors/arduino/data,arduino-04,12,arduino-04 12
1774711073.497,121.499,routing,sensors/data,arduino-04,4,arduino-04 4
1774711076.440,124.443,routing,sensors/arduino/data,arduino-02,14,arduino-02 14
1774711082.679,130.681,routing,sensors/data,arduino-03,5,arduino-03 5
1774711085.068,133.071,routing,sensors/data,arduino-05,3,arduino-05 3
1774711087.536,135.539,routing,sensors/data,arduino-04,4,arduino-04 4
1774711092.907,140.910,routing,sensors/arduino/data,arduino-05,10,arduino-05 10
1774711093.774,141.777,routing,sensors/arduino/data,arduino-04,13,arduino-04 13
1774711095.136,143.138,routing,sensors/data,arduino-05,3,arduino-05 3
1774711097.615,145.618,routing,sensors/data,arduino-04,4,arduino-04 4
