timestamp,topic,payload
1773605607.948085,sensors/data,pico_w_iot 1
1773605608.4115741,sensors/data,pico_w_iot 2
1773605609.0154233,sensors/data,pico_w_iot 3
1773605609.541578,sensors/data,pico_w_iot 4
1773605610.155995,sensors/data,pico_w_iot 5
1773605610.660224,sensors/data,pico_w_iot 6
1773605611.3715107,sensors/data,pico_w_iot 7
1773605611.9080763,sensors/data,pico_w_iot 8
1773605612.314799,sensors/data,pico_w_iot 9
1773605612.9211826,sensors/data,pico_w_iot 10
1773605613.641441,sensors/data,pico_w_iot 11
1773605615.0150247,sensors/data,pico_w_iot 13
1773605615.5702794,sensors/data,pico_w_iot 14
1773605616.0956326,sensors/data,pico_w_iot 15
1773605616.6057973,sensors/data,pico_w_iot 16
1773605617.22119,sensors/data,pico_w_iot 17
1773605617.925498,sensors/data,pico_w_iot 18
1773605618.4454722,sensors/data,pico_w_iot 19
1773605619.2538373,sensors/data,pico_w_iot 20
1773605620.8684464,sensors/data,pico_w_iot 21
1773605621.3856328,sensors/data,pico_w_iot 22
1773605622.0068586,sensors/data,pico_w_iot 23
1773605622.5154645,sensors/data,pico_w_iot 24
1773605623.0287828,sensors/data,pico_w_iot 25
